TIP,Cab,Taxi,Waiter,Restaurant,Money
FLOURESCENT,Colour,Bright,Neon,Glow,Light
KENYA,Masai Mara,Africa,Black,Athletes,Animals
DESIGNER,Draw,Interior,Architect,Computer,Create
WAIST,Middle,Belt,Bend,Expanding,Body
PREPOSITION,Is The,On,Upon,Of,And
WAITRESS,Serve,Tip,Menu,Food,Restaurant
PITCHER,Jug,Baseball,Water,Throw,Pour
DUCT,Air,Metal,Hollow,Heat,Ac
TATTOO,Skin,Ink,Permanent,Design,Needles
ETHICS,Honest,Money,Interest,Integrity,Lying
DIVINE,God,Music,Spiritual,Bless,Yoga
PROJECT,Project Manager,Funding,Budget,Scope,Architect
VEST,Under Garments,Clothes,Strips,Underwear,Stomach
FALCON,Captain,Bird,Punch,Hunter,Fly
ROBOTS,New,Interesting,Science,Technology,World
GIRL,Dress,Skirt,Kind Of Person,Bra,Lot Of Hair
WINDOWS,Island,Greece,Paradise,Castle,Beaches
LINEN,Bed,Laundry,Clean Utility,Towels,Washcloth
TAPE,Scotch,Duct,Player,CD,Music
KONGO,Water,River,Big,Africa,Kingdom
CUPID,Arrow,Heart,Valentine,February,Love
SAW,Horror Movie,Key,Blood,Horrible,Die
PURSE,Lipstick,Wallet,Keys,Change,Gum
REMEMBER,Forget,Titans,Alamo,Brain,Retain
SUNRISE,Sunshine,Sun,Lovely Feeling,Insane,Rise
TOWN,City,Place,Hall,Gather,Small
SUPERVISE,Boss,Overlook,Oversee,Direct,Manage
BAIL,Cricket,Stump,Prison,Lawyer,Game
MUSCLED,Marsupial,Australia,Jumping,Joey,Pouch
HEADACHE,Pounding,Splitting,Tension,Pain,Brain
ELEMENT,Wind,Storm,Snowstorm,Periodic Table,Volcano Run
BUN,Bakery,Pastry,Eat,Sandwich,Snack
CHOIR,Sing,Carols,Conductor,Music,Christmas
WERE,Are,When,With,Your,One
INSTIGATE,Start,Initiate,Responsible,Begin,Suggest
BELLY,Body,Eat,Fat,Central,Part
GOGGLES,Swim,Eye,See,Ski,Wear
FETCH,Game,Dog,Get,Bring,Back
FUN,Enjoyable,Leisurely,Great,Hobby,Laughter
ATHLETIC,Run,Food,Homework,Money,Company
EMOTION,Happy,Sad,Angry,Excited,Cry
LUNCH,Eat,Break,School,Work,Noon
LANDING,Airplane,Base,Helicopter,Takeoff,Descent
TRICEPS,Muscle,Bicep,Arm,Body,Lift
ADVERTISEMENT,TV,Internet,Radio,Adds,Food
ROOF,House,Top,Red,Tiles,Chimney
CHARITY,Donate,Giving,Salvation Army,Help,Money
DIAMOND,Forever,Cards,Game,Expensive,Transparent
CHALK,Colors,Sidewalk,Pavement,Writing Utensil,Write
SPICE,Strong,Curry,Kitchen,Aroma T,Order
LAUGH,Joke,Riddle,Funny,Smile,Frown
BROOK,Creek,River,Trickle,Water,Babble
INDUSTRY,Auto,Food,Shoe,Technology,Steel
IN,Clear,Trash,Pope,Pastor,Africa
STRATOSPHERE,Air,Earth,Layer,Atmosphere,Space
ELECTRODES,Anion,Cation,Anode,Cathode,Anode Mud
BOSS,Big,Master,Cloth,Brand,Jeans
SAT,Down,Chair,Table,Test,English
FORD,Mustang,Explorer,Company,Car,Focus
GELATO,Yummy,Fat Free,Ice Cream,Flavor,Toppings
PEBBLE,Stone,Small,Gravel,Skim,Dog
BIBLE,Scripture,Jesus,Church,Minister,Preacher
LIBRARY,Book,Read,Study,University,Shelf
TOKYO,China,Steakhouse,Chinese,Korean,City
BEANS,Toot,Green,Long,Vegetable,Refried
FUNCTION,Job,Purpose,Role,Task,Perform
LEMON,Citrus,Rind,Orange,Meringue,Tart
CHEAP,Brown,Asian,Money,Jew,Hamza
DISMISS,Release,Discharge,Drop,Terminate,Cashier
PEN,Write,Ink,Notebook,Jot,Scribe
SANDALS,Slippers,Shoes,Feet,Sand,Wear
PHLEGM,Mucus,Snot,Nose,Cough,Hankie
KINDERGARTEN,School,Preschool,Child,Teacher,Infant
BAND,Music,Orchestra,Rubber,Group,School
DEFICIT,Money,Debt,Government,Loans,Borrow
GIMMICK,Deception,Trick,Subterfuge,Wile,Ploy
ENVELOPE,Container,Mail,Advertisements,Stamp,Paper
SAREE,Women,Indian,Wear,Clothes,Long
ARABS,Terrorist,Middle East,Iraq,Muslim,Palestine
SCHOOL,Cabinets,Teachers,Students,Books,Homeworks
HERO,Save,Famous,Movie,Rescue,Novel
PRISM,Geo,Light,Rainbow,Refract,Pink Floyd
EQUITY,Owns,Portion,Fair,Stake,Impartial
ALVIN,Simon,Chipmunk,Theodore,Dave,Movie
DROOLING,Saliva,Sleep,Baby,Spit,Mouth
TEACHER,Student,Teach,School,Lesson,Chalkboard
SIGN  LANGUAGE,Deaf,Hands,Words,Hear,Speaking
GREETINGS,Holla,Hello,Welcome,Cards,Goodnight
BLIND,Eyes,Defect,Dark,Black,Braille
COMMUNISM,China,Russia,Native,Sickle,Red
HIT,Strike,Press,Key,Target,Attack
PAUSE,Play,Stop,Rewind,Fast Forward,Hesitate
SKIRT,Girls,Dress,Clothes,Summer,Woman
GEOGRAPHY,Subject,World,Map,Population,Weather
NEGLIGENCE,Forget,Ignore,Disregard,Child,Serious
PLUMBER,Crack,Butt,Clean,Toilets,Suit
JUGGLE,Clown,Balls,Throw,Toss,Hands
PERFUME,Bottle,Expensive,Smell,Flowers,Liquid
VIKING,Horn,Helmet,Ship,Myth,Europe
SANGRIA,Wine,Drink,Spain,Fruit,Jug
WATERMELON,Seeds,Red,Muskmelon,Fruit,Juicy
NOSE,Smell,Sense,Hairy,Oily,Boogers
WRATH,Sin,Woman,Warcraft,Deadly,God
CRUSADES,Murder,Killing,Christianity,Hate,Genocide
RELIGIONS,Christian,Judaism,Catholicism,Buddhism,Islamic
COMPUTER,Data,File,Monitor,Keyboard,Mouse
MAC,Apple,Big,Mcdonald,Steve Jobs,Pc
BUTTER CUP,Green,Blossom,Power Puff,Cartoon,Bubbles
CEILING FAN,Spins,Air,Propeller,Light,Blade
SWAN,Bird,White,Fly,Wings,Beautiful
FOIL,Aluminum,Metal,Silver,Microwave,Opposite
INSOUCIANT,Nonchalant,Carefree,Casual,Lighthearted,French
SKITTLES,Sweets,Addictives,Tasty,Hyper,Flavours
ANSWER,Correct,Wrong,Question,Ask,Test
DANIEL,Boy Name,Bible,Lions,Luke,David
GENUINE,Heartfelt,Hearty,Honest,Natural,TRUE
CHEERIOS,Oat,Ohs,General Mills,Cereal,Milk
MERMAIDS,Tail,Scales,Long Hair,Dolphins,Merman
JAPAN,Tokyo,Asian,Sushi,Atomic Bomb,Porn
GENESIS,Bible,Adam,Eve,Moses,Beginning
KNIFES,Cut,Scratch,Blood,Blade,Sharp
BINDER,Mitt Romney,Women,School,Notebook,Paper
NOVEL,New,Innovative,Different,Original,Fresh
JIFFY,Lube,Peanut Butter,Quick,Muffin,Fast
FRAME,Picture,Photo,Display,Glasses,Around
CIRCLE,Shape,Hollow,Ring,Curved,Cycle
MEXICANS,Retarded Policeman,Parents,Spanish,Spain,Spanish
SPLEEN,Body,Organ,Abdomen,Rupture,Remove
HAIKU,Poem,Japanese,Rhyme,Short,Verse
CHERRY,Fruit,Pick,Seed,Red,Cola
MASHER,Potato,Vegetable,Squash,Machine,Kitchen
EXAMINATION,Test,Knowledge,Study,Inspection,School
CLOSURE,Lock,Shutting,Occlusion,Stop,Halt
PASTRY,Breakfast,Dessert,Crumble,Bakery,Sweet
SOFA,Furniture,Couch,Chair,Living Room,Sit
ISLAND,Beach,Sand,Lost,Land,Hawaii
KETCHUP,Sauce,Tomato,Red,Food,French Fries
BOXERS,Underwear,Men,Fighter,Short,Plaid
SWAP,Hedge,Interest Rate,Trade,Risk,Exchange
CINGULAR,Cell,Phone,Wireless,Network,Roam
POOL,Water,Swim,Chlorine,Blue,Like Bowl
SCRABBLE,Letters,Words,Dictionary,Tile,Board Game
CEILING,Roof,Floor,Ground,Height,Above
HOLLYWOOD,California,Vegas,Movie Stars,Famous,Movies
MOUSE,Rat,Animal,Pointing Device,Coward,Device
COUSIN,Family,Aunt,Uncle,Mother,Father
RUSSIA,Vodka,Bear,Balalaika,Cold,Moscow
SENTENCE,Words,Full Stop,Capital Letter,Long Or Short,Writing
CHAIN,Mail,Letter,Restaurant,Link,Metal
ACCOUNTING,Beans,Numbers,Cash,Ledgers,Books
SYMPHONY,Beethoven,Mozart,Classical Music,Orchestra,Conductor
FOOTBALL,Spike,Throw,Catch,Kick,Score
FAR,Long,Way,Off,Distant,Away
GUANO,Bird,Bat,Poop,White,Cave
FARMING,Dig,Seed,Herbs,Water,Bushes
SANDAL,Beach,Flip Flop,Shoe,Feet,Toes
HAPPINESS,Gladness,Sadness,Joy,Christmas,Peace
GRAPE,Violet,Juicy,Fruit,Small Bones,Delicious
OREOS,Biscuits,Cream Filling,Cookie,Chocolate,Milk
DOVE,Peace,White,Bird,Olive,Freedom
OFFER,Customer,Money,Pay,Buy,Product
STEAM,Cold,Water Vapour,Droplet,Boil,Hot
FRY,Egg,Chips,Fat,Pan,French
SUPPOSE,Believe,TRUE,Imagine,Possible,Required
FREUD,Psychology,Libido,Ego,Subconscious,Book
FALL,Autumn,Trip,Descend,Accident,Season
ACNE,Red,Zits,Teenagers,Dots,Pimples
WRESTLE,Crocodile,Grasp,Throw,Ropes,Ring
HIPSTERS,Triangles,Obscure,Pretentious,Goodwill,Never Heard Of It
ASYLUM,Crazy,Hospital,Mind,Doctor,Patient
HOUSEPLANT,Flower,Inside,Water,Pot,Planter
HONEY,Bear,Bee,Sweet,Money,Insect
IGLOO,Ice,In Greenland,House,Eskimo,Frigid
FOREVER,Sometimes,Never,Eternity,End,Always
COFFEE,Cream,Cup,Filter,Pot,Sugar
SAY,Communicate,Voice,Vent,Utter,Declare
PAINT,Color,Brush,Wall,Bucket,Liquid
VIOLET,Color,Yellow,Orange,Blue,Red
BALL,Bounce,Round,Circle,Play,Throw
RIBS,Chest,Bone,Pair,Skinny,Fracture
CAVIAR,Fish Eggs,Round,Water,Sushi,Russian
MIDGET,Alive,Person,Earth,Me Or U,Animate Thing
HIGH FIVE,Hands,Gesture,Palm,Celebrate,Friends
LEGGINGS,Tight,Black,Warm,Stretchy,Tights
LIGHTS,Christmas,Bulb,Flicker,Switch,Bright
YOYO,Feet,Poop,China,Pee,Liver
METS,Baseball,New York,Shea,Queens,Flushing
LEADER,Manager,Boss,Coordinator,Director,Organizer
ASPIRIN,Pain,Fever,Drug,Aches,Anti-Inflammatory
TYPO,Keyboard,Button,Computer,Fingers,Clumsy
PEPPERMINT,Patty,Cool,Candy,Ice Cream,Candy Cane
APRIL,Spring,Flowers,Growth,Bright Colors,After March
TARANTULA,Big,Spider,Legs,Bite,Bath
SURROUND,Sound,Speakers,Around,Gather,Circle
ENTERPRISE,Business,Star Trek,Aircraft Carrier,Shuttle,Plan
HENNA,Hands,Tatoo,Beauty,Moroccan Women,Weddings
MASTICATE,Eat,Chew,Consume,Devour,Teeth
ERASMUS,Study Abroad,Drinking,Money,Party,University
MOIST,Wet,Humid,Water,Cream,Sweat
PLATEAU,Mesa,Flat,Level,Mountain,Rock
PANIC,Fear,Problem,Anxiety,Situation,Scare
FLIGHT,Ticket,Plane,Seat,Coach,Fly
PROVOKE,Prompt,Excite,Goad,Impel,Incite
CINEMA,Screen,Movie,Film,Act,Director
SEQUENCE,Numbers,Order,Comma,Pattern,Math
BILLS,Telephone,Duck,Utility,Checks,Pay
BATTLESHIP,Guns,Boat,Water,Float,Sailors
LAUNDROMAT,Clothes,Laundry,Washing,Soap,Coins
GIFT WRAP,Presents,Paper,Decorated,Give,See
NEPAL,Se Asia,Himalayas,Buddha,Mount Everest,Country
ROAD,Block,Trip,Travel,Show,Car
KOSHER,Pareve,Jews,Halal,Food,Israel
TRIVIA,Facts,Pursuit,Guess,Knowledge,Game
TEXTBOOK,Character,Sentence,Text,Picture,Rules
YELLING,Raising Voice,Talking Loud,Parents,Kids,Wrong
BOOGERS,Nose,Snot,Picking,Gooey,Green
KODAK,Film,George Eastman,Pictures,Camera,Image
CASS,Korean,Beer,Delicious,Awesome,Fresh
KNIFE,Slice,Chop,Cut,Sharp,Kill
SILENCE,Quiet,Dead,Speeches,Noisy,Calm
FLYING PONY,Flying,Pony,Wrinkly,My,Little
WIFE,Legal,Lover,Female,Married,Woman
BILLIONAIRE,Bill Gates,Money,Cash,Warren,Loot
LADDERS,Aluminum,Hook,Rolling,Rope,Step
FRUIT NINJA,Cut,Phone,Blade,App,Knife
ICE AGE,Extinct,Frozen,Ice Land,Endangered,T-Rex
MODEM,Device,Internet,Phone,Line,Connect
DEMEAN,Deport,Do,Quit,Carry,Bare
SOLVED,Papers,Answers,Maths,English,Science
POMERANIAN,Dogs,Furry,Bark,Cats,Home Pets
PORTRAIT,Family,Picture,Frame,Pose,Photo
RECYCLE,Reuse,Reduce,Collect,Green,Containers
AMAZING,Awesome,Cheesecake,Pie,Good,Nice
REGENERATION,Doctor Who,Skin,Growth,New,More
PRINTER,Machine,Prints,Books,Computer,Paper
ROACHES,Nasty,Crawl,Floor,South,Small
CONNECTION,Games,Music,Entertainment,Downloads,Chatting
SPEAKERS,Music,Sound,Bass,Treble,Mid
BUDGET,Finance,Plan,Rental,Annual,Monthly
SUBSTITUTE,Teacher,Replacement,Exchange,Alternate,Accept
STICKER,Tape,Apply,Glue,Fun,Cartoon
SPARROW,Jack,Bird,Small,House,Song
AUSSIE,Money,Hip,Cruel,Cricket,Duck
LAUNDRY BASKET,Clothes,Detergent,Washing Machine,Dryer,Dirty
SNOW,Man,Shovel,Fall,Removal,Flakes
SPEAKING,Public,Talk,Speech,Universal,Mouth
TIBET,Himalaya,China,Asia,Tibetan,Buddhist
DEMON,Scary,Killers,Murders,Ghost,Spooky
CAT,Run,Jump,Animal,All Over The World,Lion
APPROVED,Yes,Done,Rejected,Passed,Failed
BATH,Shower,Bathroom,Washroom,Water,Soap
BANK,Institution,Savings,Financial,Money,Deposit
GORILLA,Monkey,Big,Ape,Jungle,King Kong
INFLAME,Inspire,Instigate,Motivate,Move,Pique
PLUG,Spark,Power,Hair,Research,Flesh
AROUND,Nature,Stupidity,Mediocrity,Water,People
VENDETTA,Revenge,Sicily,Feud,Italian,Punishment
WISH,To Fly,To Get Present,To Be Star,To Be Cool,To Be Stupid
EXTREME,Danger,Sport,Daredevil,Risk,Energy
HALLOWEEN,Pumpkin,Ghost,Candy,Costume,Scary
GYPSUM,Heat,Plaster Of Paris,Cement,Building,Houses
DOLPHIN,Water,Bottle Nose,Ocean,Playful,Mammal
ALARM,Device,Warning,Security,Clock,Fear
WAFFLES,Syrup,Maple,Sap,Butter,Pancake
RESPECT,Elder,Talent,Umpire,All,Parents
TENNIS BALL,Game,Court,Racket,Swing,Net
STEREO,Music,Lyrics,Artist,Band,Singer
BISCUIT,Crunch,Sweet,Tea,Snack,Crumbly
GENGHIS KHAN,Great Wall,Mongolia,Ruler,China,Dynasty
MICHIGAN,Cold,US,Place,Detroit,Lansing
RECUPERATING,Recover,Health,Hospital,Improve,Better
ANGELS,Wings,Heaven,Devil,Light,God
JUNGLE,Trees,Food,Animals,Dangerous,Place
YIPPEE,Won,Say,Shout,Excitement,Happy
BABY,Small,Little,Tiny,Infant,Human
SNORE,Loud,Sleep,Nose,Man,Male
CPU,Central,Brain,Mainframe,Programs,Calculation
PATCH,Award,Scout,Fix,Together,Bind
JAIL,Broken,Cell,Laws,Bars,Inmate
TRUE,Honest,FALSE,Right,Accurate,Genuine
KID,Person,Child,Baby,Born,Parents
UNICUM,Liqueur,Dark,Drink,Hungarian,Bar
DAISY,Blonde,Blue-Eyed,Great Gatsby,Girl,Love Interest
CRONUS,Titan,Zeus,Rock,Time,Mythology
CHEF,Hat,Food,Restaurant,Cook,Make
CHIPMUNK,Alvin,Squirrel,Singing,Cartoon,Theodore
BESIDES,Furthermore,Also,Further,Likewise,More
COLOSSEUM,Gladiator,Rome,Monument,Amphitheatre,Bull/Lion
SAFARI,Wild Life,Trees,Journey,Africa,Tracker
DELL,Computer,Austin,Laptop,Intel,Windows
SNOW WHITE,Dwarf,Witch,Apple,White,Fairy Tale
CIGAR,Tobacco,Cigarette,Smoke,Cuba,Stogie
NOSTRIL,Hair,Nose,Hole,Face,Pick
SKY,Sun,Moon,Aircraft,Helicopter,Cloud
FERTILE,Soft Ground,Rich,Fruitful,Productive,Prolific
HONKING,Car,Horn,Beep,Duck,Noise
ATOM,Proton,Neutron,Electron,Particle,Microscopic
MUSCLE,Strength,Biceps,Guns,Bone,Protein
FOOLISH,Absurd,Moronic,Idiotic,Mad,Silly
PANCAKE,Food,Butter,Syrup,Cooked,Eat Them
VISA,Country,Green Card,Credit Card,Bank,Cash
DELIVER,Give,Supply,Provide,Transfer,Hand
FIZZ,Bubble,Cream,Froth,Sizzle,Lather
SNICKERS,Chocolate,Caramel,Nuts,Bar,Candy
THIS,That,Word,Not,Pronoun,What
GRAZING,Cattle,Sheep,Cows,Grass,Eat
SHEET,Paper,Sentence,Word,White,Ink
GLANCE,Look,Quick,Mirror,Boy,Girl
BARBELL,Dumbbells,Weights,Gym,Exercise,Train
JUSTICE,A Store,Court,Fair,Comic,Marvel
CARDINAL,Bird,Red,Chirp,Spring,Bishop
RECTIFY,Fix,Problem,Solve,Correct,Sort
NILE,River,Longest,Egypt,World Record,Africa
SHETLAND,Country,Horse,Whisky,City,Island
DIABETES,Sugar,Insulin,Medical,Sweet,Disease
GALAXY,Sun,System,Space,Earth,Milky Way
CRY,Sad,Tears,Eye,Hurt,Water
BREECHES,Knees,Buckle,Trousers,Lower,Clothing
CALENDAR,Month,Week,Day,Years,Numbers
MONOMIAL,One,Number,Letter,Trinomial,Binomial
CARD,Paper,Printed,Greetings,Games,Information
STILL,Not Moving,Static,Quiet,Silent,Peace
STICKY,Adhesive,Gluey,Gooey,Gummy,Tacky
WAX,Ear,Paper,Candle,Power,Hear
EGGPLANT,Purple,Vegetable,Food,Edible,Cucumber
SUSTAIN,Keep,Support,Stand,Fall,Dizzy
POUCH,Money,Holder,Zipper,Purse,Kangaroo
PLACE MAT,Table,Plate,Setting,Cup,Napkins
DUKE,Carolina,University,College,Study,Admission
WHEEL,Circle,Band,Disk,Ring,Round
BLITZKRIEG,German,Poland,Fast,War,Tank
PORTABLE,Cards,Taboo,Fun,Mobile,Play
ALCOHOL,Wine,Beer,Cider,Champagne,Brandy
OLAF,Snowman,Frozen,Disney,Josh Gad,Melt
CUPCAKE,Icing,Topping,Muffin,Frill,Small
TEENAGER,School,Ten,Kids,Grow,Fight
EXACTLY,Precise,Amount,Understand,TRUE,Time
PRINCIPAL,Important,Head,Primary,Represented,School
BREAST,Chicken,Woman,Bra,Chest,Milk
MAGIC,Show,Magician,Invisible,Tiny,Giant
FLABBERGASTED,Mouse,Isolation,Depression,Piano,Czechoslovakia
GRAVY,Liquid,Meal,Sauce,Cooking,Meat
GONE,Leave,Quit,Stop,Depart,Exit
JACKSON,Spoil System,National Bank,President,Bargain,Corrupt
RAW,Meat,Uncooked,Vegetables,Emotion,Food
ZEN,Chinese,Relax,Calm,Garden,Serene
JASMIN,Awesome,Sister,Person,Cool,Family
SUDS,Soap,Foam,Wash,Bath,Bubbles
MIGRATION,Move,Place,Group,New Place,Geese
SKIN,Touch,Feel,Body,Bruises,Acne
SUDOKU,Numbers,Game,Add,Puzzle,Boxes
PUBLICIZE,Promote,Boost,Enhance,Puff,Tout
CATALINA,Charming,Name,Girl,Woman,Katherine
MARIO,Video Game,Red,Plumber,Jump,Italian
CARCASS,Dead,Body,Rot,Decompose,Smell
FUTURE,Tomorrow,Later,Final,Next,Opposite Past
PHOTOGRAPH,Picture,Camera,Take,Moment,Upload
LOBOTOMY,Frontal Lobe,Psychology,Operation,Insane,Mental Institution
MEN,Style,Foolish,Naughty,Hair,Sir
CHIPS,Poker,Gamble,Potato,Crunchy,Snack
PRINCE,Royal,Family,England,Boy,Male
BREAD,Breakfast,Carbohydrate,Eat,Morning,Wheat
BEAR,Black,Polar,Brown,Grizzly,Panda
STATIONARY,Moving,Still,Unmoving,Set,In Place
DIARY,Girl,Pillow,Mother,Read,Personal
YUCK,Slang,Disgusting,Dirty,Yum,Dislike
SWERVE,Cut,Sheer,Skew,Veer,Chop
ARCHAEOLOGY,Baulk Walls,Dig,Indiana Jones,Artefact,History
AQUARIUM,Water,Tank,Glass,Fish,Aquatic
EGO,Conceit,Vanity,Vain,Narcissism,Pride
LUNATIC,Crazy,Psycho,Help,Psychiatrist,Toons
MOMMY,Love,Nice,Supportive,Woman,Birth
SHAKA,Tall,Long,Legs,Weird,Math
STOCKINGS,Christmas,Socks,Lingerie,Legs,Fishnet
CHURCH,Pray,Steeple,Priest,Catholic,Christian
ADJACENT,Close,Near,Proximate,Nigh,Immediate
MANKIND,Humanity,Race,God,World,Person
CHASTISE,Punish,Correct,Shame,Reprimand,Beat
PARTNER,Share,Activity,Member,Relation,Fellow
COMEDIAN,Funny,Stand,Up,Joke,Teller
GARDEN,Gnome,Rabbit,Carrot,Fence,Hoe
DISSEMBLANCE,Act,Disguise,Pretense,Sham,Show
NIKON,Camera,Picture,Photography,Develop,Lens
CHIRP,Birds,Cricket,Sound,Silent,Annoying
CEMETERY,Grave Yard,Dead,Tomb,Mausoleum,Funeral
LOGITECH,Mouse,Keyboard,Multinational,Monitor,Company
KANGAROO,Pouch,Hop,Animal,Australia,Captain
FAST,Team,Amazing,Wonderful,The Best,Taboo Champs
ILLEGAL,Illegitimate,Illicit,Lawless,Outlawed,Wrong
FACE,Sad,Happy,Depressed,Fainting,Shocked
ANCESTOR,Forefather,Foremother,Ascendant,Parent,Predecessor
VULTURE,Turkey,Black,King,Griffon,Egyptians
CRYSTAL,Ball,Glass,Kitchen,Fancy,Gift
POVERTY LINE,Poor,Money,Straight,Class,Status
WOMAN,Female,Girl,Pretty,Right,Feminism
STILETTO,Heels,Platform,Shoes,High,Pair
TURTLES,Ninja,Tortoise,Heavy,Stone,Slow
KILOMETER,Mile,Meter,Car,Pounds,Kilo
APPLES,Tree,Red,Orange,Fruit,Computer
FISH,Salmon,Trout,Lobster,Tuna,Shrimp
GOVERNMENT,Judicial,Legislative,Branch,Executive,Power
SECRETARY,Mary Tyler Moore,Office,Front Desk,Female,Messages
SUPERSTITION,Black Cat,Ladder,Touch Wood,Bad Luck,Superstitious
COLE,Blonde,Small,Eight,Micheal,Christy
PIG,Feet,Nose,Sty,Dirty,Pink
PLUNGER,Toilet,Stopped Up,Sink,Bathroom,Commode
COLLAR,Dog,Shirt,Horse,Neck,Nab
TANGERINE,Orange,Fruit,Orange,Sweet,Juice
CRIME,Death,Injury,Loss,Burglary,Robbery
HUMPTY DUMPTY,Egg,Wall,Fall,Rhyme,Horses
DESIGN,Art,Graphic,Building,Architect,House
SUM,Maths,Calculate,Calculator,Algebra,Zero
ABIDE,Stay,Last,Remain,Endure,Continue
AIR CONDITIONER,Summer,Cool,Air,Fan,A/C
HELIX,Spiral,Ear,Rim,Snail-Shell,Screw-Thread
BIRD NEST,Eggs,Tree,Twigs,Robin,Baby Bird
TRADITION,Culture,Country,Styles,Types,Everything
DOOR,Open,Close,Lock,Revolving,Garage
SLIPPER,Feet,Toes,Fuzzy,Heel,Shoe
TOURNIQUET,Bleeding,First Aid,Bandage,Army,Tie
LION,Cat,Big,Wild,Brave,Strong
IVORY,Elephant,Coast,Piano,White,Africa
BOOTY,Stink,Nasty,Crack,Hole,Ass
ALPHABET,A,B,C,Letters,Writing
PICKPOCKET,Thief,Steal,Wallet,Artful Dodger,Police
CLEOPATRA,Queen,Egypt,Taylor,Antony,Caesar
RECEPTIVE,Open,Amenable,Open Minded,Responsive,Acceptant
GOVERNOR,State,Representative,Leader,Each,Elect
GEEZER,Dude,Guy,Male,British,Slang
CRETE,Island,Greece,Mediterranean,Creta,Diet
SERVING,Helping,Portion,Piece,Mess,Serve
BAHAMAS,Ocean,Island,Black People,Conch,Atlantis
LABRADOR,Black,Yellow,Dog,Popular Breed,Companion
SWEETS,Sugar,Mouth,Chewy,Packet,Hard
BULLY,Harass,Strong,Pick On,School,Peer
NINE,Ten,Eight,Number,Old,Count
AFFINITY,Attraction,Yesterday,Natural,Vocabulary,Have
HEART,Pump,Blood,Circulate,Chambers,Brain
GYMNASTICS,Bars,Flip,Gym,Leotard,Vault
KNIGHT,Armor,Sword,King,Medieval,Castle
APOTHECARY,Potions,Ingredients,Herbs,Magic,Shop
KINGDOM,Region,King,Queen,Men,Women
TIGER,Wood,Animal,Dangerous,Beer,Forest
CRIMINALS,Robber,Smuggler,Shoplifter,Kidnapper,Hijacker
HONK,Car,Horn,Noise,Goose,Beep
MARBLES,Balls,Small,Roll,Strike,Game
TOURNAMENT,Reading,Writing,Rase,Rally,Basket-Ball
BACHELOR,Single,Married,Show,Party,Man
SMOOTHIE,Blender,Fruit,Juice,Banana,Drink
VIPER,Poison Sting,Neurotoxin,Viper Strike,Corrosive Skin,Orb Walk
MADDEN,John,Football,Video Game,Coach,Announcer
TESTIFY,Attest,Validate,Back,Warrant,Justify
SEEMS,Appears,Looks,Imagine,Time,Thought
FROSTING,Icing,Cake,Spread,Cupcake,Chocolate
FORSWEAR,Yield,Cede,Demit,Surrender,Waive
BOOZE,Alcohol,Beer,Spirits,Wino,Drunk
PURGE,Eradicate,Liquidate,Remove,Eliminate,Wipe
BOARDWALK,Beach,Atlantic City,Funnel Cake,Sand,Rides
BEAGLES,Tri Colour,Size(S),Dog Or Puppy,Drink And Eat,Bark Or Howl
CALYPSO,Caribbean,Song,Mighty Sparrow,Island,Genre
GLAMOUR,Famous,Fame,Rich,Attention,Lavish
DOMINOES,Pizza,Take Away,Game,Cheese,Italian
INDEX,Cards,Filing,Finger,Sorting,Desire
MONARCHY,Absolute,Government,Hereditarian,Divine Reagent,Supremacy Of One Man
MITOSIS,Cell,Divide,Two,Chromosomes,Identical
SHELL,Crab,Hard,Post Traumatic Stress,Egg,Calcium Carbonate
RUGBY LEAGUE,Footy,Ball,Tackle,Team,Score
BENEFITS,Medical,Dental,Vision,Prescription,Employee
BLADDER,Pee,Empty,Drink,Water,Infection
DRUGS,Cocaine,Heroin,Pot,Weed,High
BRIDGE,Card Game,Water,Connects,River,Cross
SCAB,Skin,Dry Blood,Injury,Band Aid,Fill In Worker
TELEPHONE,Mobile,Talk,Ring,Bell,Communication
RAINBOW,Leprechaun,Gold,Color,Weather,Rain
ERASE,Eraser,Non Dust,Natraj,Stationary,Education
SKIPPER,Ship,Madagascar,Penguin,Captain,Sea
ELEMENTS,Water,Earth,Fire,Air,Four
ERNEST,Perfect,Lover,Angel,You,Love
GENERATOR,Building,Light,Power-cut,Machine,Instantly
DINOSAUR,Extinct,Ancient,Rex,Meteor,Jurassic
FOUR,Five,Before,Number,After,Three
PETS,Dog,Bird,Animal,Creature,Duck
HUM,Sing,Melody,Notes,Bored,Tune
BLOWFISH,Ocean,Inflate,Spikes,Sea,Fins
NEPTUNE,King,Under The Sea,Fork Spear,Crown,Mermaid
INCREASE,Forward,More,Size,Decrease,Backward
YOGURT,Dairy,Breakfast,Granola,Pudding,Strawberry
MONSTER,Scarey,Energy Drink,Closet,Under Bed,Boo
NIGERIA,Country,Africa,Tribes,African-Americans,Monkeys
FLOWERS,Rose,Tulip,Narcissus,Lily Of The Valley,Violet
NOAH,Biblical,Flood,Boat,Animals,Dove
CANCEL,Blot,Cross,Delete,Erase,Expunge
ANTARCTICA,Cold,Ice,South,Penguins,Continent
NIECE,Nephew,Aunt,Uncle,Girl,Daughter
BEDROOM,Sleep,Bed,Rest,Mattress,Cover
CROUTON,Salad,Bread,Crunchy,Lettuce,Caesar
LAMP,Light,On,Off,Bright,Standing
FEMINISM,Lesbians,Women,Equality,Vote,Patriarchy
